rule_a_id,rule_a_name,rule_b_id,rule_b_name,level,hits_a,hits_b,both_hits,union_hits,jaccard,overlap_coefficient,p_a_given_b,p_b_given_a,high_jaccard_candidate,high_overlap_candidate,a_empirically_contained_in_b,b_empirically_contained_in_a,review_required
R01,R01_tx_sanctions_screening_hit,R02,R02_subject_on_sanctions_list,transaction,2,184,0,186,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R03,R03_pep_crossborder_or_high_value,transaction,2,455,0,457,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R04,R04_wire_to_high_risk_country,transaction,2,27,2,27,0.0740740740741,1,0.0740740740741,1,False,True,True,False,True
R01,R01_tx_sanctions_screening_hit,R05,R05_crossborder_high_risk_receiver,transaction,2,515,2,515,0.00388349514563,1,0.00388349514563,1,False,True,True,False,True
R01,R01_tx_sanctions_screening_hit,R06,R06_geo_or_ip_high_risk,transaction,2,782,2,782,0.00255754475703,1,0.00255754475703,1,False,True,True,False,True
R01,R01_tx_sanctions_screening_hit,R07,R07_large_amount_50k_plus,transaction,2,90,0,92,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R08,R08_card_ecommerce_without_3ds,transaction,2,1054,0,1056,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R09,R09_chargeback_status,transaction,2,1070,0,1072,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R10,R10_high_risk_mcc,transaction,2,15696,0,15698,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R11,R11_high_risk_merchant_or_cb_ratio,transaction,2,13784,1,13785,7.25426187885e-05,0.5,7.25478816019e-05,0.5,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R12,R12_self_merchant,transaction,2,3,0,5,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,2,3839,0,3841,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R14,R14_rooted_device,transaction,2,1562,0,1564,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R15,R15_near_10k_structuring_proxy,transaction,2,988,0,990,0,0,0,0,False,False,False,False,False
R01,R01_tx_sanctions_screening_hit,R16,R16_low_income_high_single_tx,transaction,2,4881,1,4882,0.000204834084392,0.5,0.00020487604999,0.5,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R03,R03_pep_crossborder_or_high_value,transaction,184,455,7,632,0.0110759493671,0.0380434782609,0.0153846153846,0.0380434782609,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R04,R04_wire_to_high_risk_country,transaction,184,27,0,211,0,0,0,0,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R05,R05_crossborder_high_risk_receiver,transaction,184,515,2,697,0.00286944045911,0.0108695652174,0.00388349514563,0.0108695652174,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R06,R06_geo_or_ip_high_risk,transaction,184,782,4,962,0.004158004158,0.0217391304348,0.00511508951407,0.0217391304348,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R07,R07_large_amount_50k_plus,transaction,184,90,0,274,0,0,0,0,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R08,R08_card_ecommerce_without_3ds,transaction,184,1054,6,1232,0.00487012987013,0.0326086956522,0.00569259962049,0.0326086956522,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R09,R09_chargeback_status,transaction,184,1070,6,1248,0.00480769230769,0.0326086956522,0.00560747663551,0.0326086956522,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R10,R10_high_risk_mcc,transaction,184,15696,52,15828,0.00328531715946,0.282608695652,0.0033129459735,0.282608695652,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R11,R11_high_risk_merchant_or_cb_ratio,transaction,184,13784,51,13917,0.00366458288424,0.277173913043,0.00369994196169,0.277173913043,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R12,R12_self_merchant,transaction,184,3,0,187,0,0,0,0,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,184,3839,15,4008,0.00374251497006,0.0815217391304,0.00390726751758,0.0815217391304,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R14,R14_rooted_device,transaction,184,1562,3,1743,0.00172117039587,0.0163043478261,0.00192061459667,0.0163043478261,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R15,R15_near_10k_structuring_proxy,transaction,184,988,2,1170,0.0017094017094,0.0108695652174,0.00202429149798,0.0108695652174,False,False,False,False,False
R02,R02_subject_on_sanctions_list,R16,R16_low_income_high_single_tx,transaction,184,4881,12,5053,0.00237482683554,0.0652173913043,0.00245851259988,0.0652173913043,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R04,R04_wire_to_high_risk_country,transaction,455,27,0,482,0,0,0,0,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R05,R05_crossborder_high_risk_receiver,transaction,455,515,17,953,0.0178384050367,0.0373626373626,0.0330097087379,0.0373626373626,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R06,R06_geo_or_ip_high_risk,transaction,455,782,19,1218,0.0155993431856,0.0417582417582,0.0242966751918,0.0417582417582,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R07,R07_large_amount_50k_plus,transaction,455,90,2,543,0.0036832412523,0.0222222222222,0.0222222222222,0.0043956043956,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R08,R08_card_ecommerce_without_3ds,transaction,455,1054,11,1498,0.00734312416555,0.0241758241758,0.0104364326376,0.0241758241758,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R09,R09_chargeback_status,transaction,455,1070,11,1514,0.00726552179657,0.0241758241758,0.0102803738318,0.0241758241758,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R10,R10_high_risk_mcc,transaction,455,15696,156,15995,0.00975304782745,0.342857142857,0.00993883792049,0.342857142857,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R11,R11_high_risk_merchant_or_cb_ratio,transaction,455,13784,146,14093,0.0103597530689,0.320879120879,0.0105919907139,0.320879120879,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R12,R12_self_merchant,transaction,455,3,0,458,0,0,0,0,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,455,3839,33,4261,0.00774466087773,0.0725274725275,0.00859598853868,0.0725274725275,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R14,R14_rooted_device,transaction,455,1562,15,2002,0.00749250749251,0.032967032967,0.00960307298335,0.032967032967,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R15,R15_near_10k_structuring_proxy,transaction,455,988,9,1434,0.00627615062762,0.0197802197802,0.00910931174089,0.0197802197802,False,False,False,False,False
R03,R03_pep_crossborder_or_high_value,R16,R16_low_income_high_single_tx,transaction,455,4881,175,5161,0.0339081573339,0.384615384615,0.0358533087482,0.384615384615,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R05,R05_crossborder_high_risk_receiver,transaction,27,515,27,515,0.052427184466,1,0.052427184466,1,False,True,True,False,True
R04,R04_wire_to_high_risk_country,R06,R06_geo_or_ip_high_risk,transaction,27,782,27,782,0.0345268542199,1,0.0345268542199,1,False,True,True,False,True
R04,R04_wire_to_high_risk_country,R07,R07_large_amount_50k_plus,transaction,27,90,0,117,0,0,0,0,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R08,R08_card_ecommerce_without_3ds,transaction,27,1054,0,1081,0,0,0,0,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R09,R09_chargeback_status,transaction,27,1070,0,1097,0,0,0,0,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R10,R10_high_risk_mcc,transaction,27,15696,1,15722,6.36051392953e-05,0.037037037037,6.37104994903e-05,0.037037037037,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R11,R11_high_risk_merchant_or_cb_ratio,transaction,27,13784,21,13790,0.00152284263959,0.777777777778,0.00152350551364,0.777777777778,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R12,R12_self_merchant,transaction,27,3,0,30,0,0,0,0,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,27,3839,3,3863,0.000776598498576,0.111111111111,0.000781453503517,0.111111111111,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R14,R14_rooted_device,transaction,27,1562,1,1588,0.000629722921914,0.037037037037,0.000640204865557,0.037037037037,False,False,False,False,False
