rule_id,rule_name,severity,implemented_threshold_mode,calibration_status,recommended_action,conditional_block_eligible,automatic_block,human_validation_required,escalation_condition,policy_note
R01,R01_tx_sanctions_screening_hit,Crítica,EVENT_OR_CATEGORY,NOT_APPLICABLE_BINARY_OR_RELATIONAL,ESCALATE,True,False,True,Validar evidência crítica em fonte oficial e aplicar política/jurídico/Compliance antes de qualquer bloqueio.,"Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R02,R02_subject_on_sanctions_list,Crítica,EVENT_OR_CATEGORY,NOT_APPLICABLE_BINARY_OR_RELATIONAL,ESCALATE,True,False,True,Validar evidência crítica em fonte oficial e aplicar política/jurídico/Compliance antes de qualquer bloqueio.,"Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R03,R03_pep_crossborder_or_high_value,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R04,R04_wire_to_high_risk_country,Alta,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R05,R05_crossborder_high_risk_receiver,Alta,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R06,R06_geo_or_ip_high_risk,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,MONITOR,False,False,True,"Escalar para revisão quando houver repetição, materialidade ou combinação com outros sinais independentes.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R07,R07_large_amount_50k_plus,Alta,FIXED_NUMERIC,FIXED_PROTOTYPE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R08,R08_card_ecommerce_without_3ds,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R09,R09_chargeback_status,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R10,R10_high_risk_mcc,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,MONITOR,False,False,True,"Escalar para revisão quando houver repetição, materialidade ou combinação com outros sinais independentes.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R11,R11_high_risk_merchant_or_cb_ratio,Média-Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R12,R12_self_merchant,Crítica,EVENT_OR_CATEGORY,NOT_APPLICABLE_BINARY_OR_RELATIONAL,ESCALATE,False,False,True,Escalar para investigação especializada; criticidade isolada não autoriza bloqueio automático.,"Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R13,R13_ip_anomaly_or_proxy_tor_vpn,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,MONITOR,False,False,True,"Escalar para revisão quando houver repetição, materialidade ou combinação com outros sinais independentes.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R14,R14_rooted_device,Média,EVENT_OR_CATEGORY,CALIBRATABLE_CANDIDATE,MONITOR,False,False,True,"Escalar para revisão quando houver repetição, materialidade ou combinação com outros sinais independentes.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R15,R15_near_10k_structuring_proxy,Média,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
R16,R16_low_income_high_single_tx,Média-Alta,DYNAMIC_ACTIVE,ACTIVE_DYNAMIC,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M01,M01_monthly_out_of_profile_dynamic,Alta,DYNAMIC_ACTIVE,ACTIVE_DYNAMIC,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M02,M02_velocity_high_volume,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M03,M03_structuring_near_10k_repeated,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M04,M04_cashin_to_cashout_pass_through_proxy,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M05,M05_crossborder_concentration,Média-Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M06,M06_high_risk_country_repeated,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M07,M07_sanctions_any_period,Crítica,EVENT_OR_CATEGORY,NOT_APPLICABLE_BINARY_OR_RELATIONAL,ESCALATE,True,False,True,Validar evidência crítica em fonte oficial e aplicar política/jurídico/Compliance antes de qualquer bloqueio.,"Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M08,M08_pep_high_volume,Alta,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M09,M09_high_risk_mcc_repeated,Média,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M10,M10_ecommerce_no3ds_repeated,Média,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M11,M11_device_ip_risk_repeated,Média,FIXED_NUMERIC,CALIBRATABLE_CANDIDATE,REVIEW,False,False,True,"Revisar contexto, perfil, materialidade e combinação de sinais; escalar quando a evidência acumulada justificar.","Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
M12,M12_self_merchant_any,Crítica,EVENT_OR_CATEGORY,NOT_APPLICABLE_BINARY_OR_RELATIONAL,ESCALATE,False,False,True,Escalar para investigação especializada; criticidade isolada não autoriza bloqueio automático.,"Política descritiva do protótipo; não altera lógica, score ou threshold da regra."
