rule_id,rule_name,level,points,logic,justification
R01,R01_tx_sanctions_screening_hit,transaction,100,sanctions_screening_hit = Yes na transação.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R02,R02_subject_on_sanctions_list,transaction,95,Cliente sujeito da transação possui sanctions_list_hit = Yes no KYC.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R03,R03_pep_crossborder_or_high_value,transaction,35,"Cliente PEP com cross-border, valor >= R$10k ou país receiver High.",Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R04,R04_wire_to_high_risk_country,transaction,45,Wire com receiver em país de risco alto.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R05,R05_crossborder_high_risk_receiver,transaction,45,Transação cross-border com receiver_country classificado como High.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R06,R06_geo_or_ip_high_risk,transaction,20,País de geolocalização/IP/sender classificado como High.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R07,R07_large_amount_50k_plus,transaction,30,amount_brl >= R$50.000.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R08,R08_card_ecommerce_without_3ds,transaction,18,Card + E-commerce + card_present=No + auth_3ds=No.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R09,R09_chargeback_status,transaction,20,status = Chargeback.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R10,R10_high_risk_mcc,transaction,15,mcc_risk = High.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R11,R11_high_risk_merchant_or_cb_ratio,transaction,20,merchant_high_risk_flag=Yes ou chargeback ratio 90d >= 8%.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R12,R12_self_merchant,transaction,80,subject_customer_id igual ao owner_customer_id do merchant.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,12,ip_anomaly=Yes ou IP via Proxy/VPN/Tor.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R14,R14_rooted_device,transaction,10,device_rooted=Yes.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R15,R15_near_10k_structuring_proxy,transaction,12,"amount_brl entre R$9.000 e R$9.999,99.",Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
R16,R16_low_income_high_single_tx,transaction,18,"Transação >= max(2x renda mensal estimada, R$10.000).",Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M01,M01_monthly_out_of_profile_dynamic,customer_month,35,"Total mensal >= max(renda mensal estimada × fator por risco, R$20k). Fator: Low 2x, Medium 1,5x, High 1x.",Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M02,M02_velocity_high_volume,customer_month,25,tx_count mensal >=15 e total_amount >= R$50.000.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M03,M03_structuring_near_10k_repeated,customer_month,30,near_10k_count mensal >=3.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,30,"cash-in >=2, cash-out >=5, cash-out >=70% do cash-in e total >= R$20k.",Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M05,M05_crossborder_concentration,customer_month,22,cross_border_count >=3 e >=30% das transações do mês.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M06,M06_high_risk_country_repeated,customer_month,35,high_risk_country_count mensal >=2.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M07,M07_sanctions_any_period,customer_month,100,sanctions transaction >=1 ou KYC sanctions_list_hit=Yes.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M08,M08_pep_high_volume,customer_month,35,PEP com total mensal >= R$50.000.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M09,M09_high_risk_mcc_repeated,customer_month,20,high_risk_mcc_count mensal >=5.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M10,M10_ecommerce_no3ds_repeated,customer_month,18,e-commerce sem 3DS >=2 no mês.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M11,M11_device_ip_risk_repeated,customer_month,18,sinais de IP anômalo/proxy/vpn/tor >=3 no mês.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
M12,M12_self_merchant_any,customer_month,80,self_merchant_count >=1 no mês.,Regra explicável para priorização AML/FT; limiares conservadores para reduzir ruído e preservar rastreabilidade da investigação.
