rule_id,rule_name,nome_pt,nivel,tipologia,rail_aplicavel,severidade,pontos,logica,parametros,limiar_dinamico,qtd_acionamentos_base,exemplo_id,exemplo_na_base,justificativa,acao_operacional,controle_falso_positivo
R01,R01_tx_sanctions_screening_hit,Hit de sanções na transação,transacao,sanções / FT / cross-border,Todos; maior criticidade em Wire,Crítica,100,sanctions_screening_hit = Yes na transação.,sanctions_screening_hit=Yes.,Não. Evento binário de criticidade máxima.,2,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Sanções têm baixa tolerância a falso negativo e exigem revisão imediata, bloqueio/segregação conforme política interna e validação em listas oficiais.","Prioridade máxima: validar lista, contraparte, país, histórico do cliente e escalar para Compliance.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R02,R02_subject_on_sanctions_list,Cliente em lista de sanções no KYC,transacao,sanções / KYC,Todos,Crítica,95,Cliente sujeito da transação possui sanctions_list_hit = Yes no KYC.,kyc.sanctions_list_hit=Yes.,Não. Evento cadastral binário.,184,TFNO8A1FBZUMA,"TFNO8A1FBZUMA | cliente C101028 | Card | R$ 4.390,02 | receiver_country=KP | country_risk_receiver=High | cross_border=Yes | capture_method=E-commerce | auth_3ds=No | card_present=No | merchant_mcc_risk=Normal",Um hit cadastral altera a análise de todo comportamento transacional do cliente e deve prevalecer sobre limiares de valor.,"Revisar onboarding/KYC, beneficiário final, listas oficiais e relacionamento.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R03,R03_pep_crossborder_or_high_value,PEP com cross-border ou alto valor,transacao,PEP / corrupção / layering,Todos,Alta,35,"Cliente PEP com cross_border=Yes, amount_brl >= 10.000 ou receiver de país High.",pep=Yes + (cross_border=Yes OR amount>=10000 OR country_risk_receiver=High).,"Parcial. Pode ser calibrada por renda, cargo/relacionamento e perfil histórico.",455,TFNO8A1FBZUMA,"TFNO8A1FBZUMA | cliente C101028 | Card | R$ 4.390,02 | receiver_country=KP | country_risk_receiver=High | cross_border=Yes | capture_method=E-commerce | auth_3ds=No | card_present=No | merchant_mcc_risk=Normal","PEP não é suspeito por si só, mas PEP combinado com alto valor, país de risco ou cross-border aumenta a necessidade de diligência reforçada.","Aplicar EDD, validar origem/destino, ocupação, renda e vínculos.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R04,R04_wire_to_high_risk_country,Wire para país de alto risco,transacao,cross-border / país de risco / FT,Wire,Alta,45,transaction_type = Wire e country_risk_receiver = High.,rail=Wire; country_risk_receiver=High.,Não no protótipo. Pode variar por lista FATF/sanções e apetite de risco.,27,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Wire internacional para país de alto risco é red flag clássica de layering, evasão e FT, especialmente quando combinado com sanções.","Revisar contraparte, finalidade declarada, país, histórico e documentação.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R05,R05_crossborder_high_risk_receiver,Cross-border com receiver em país de alto risco,transacao,cross-border / país de risco,Todos,Alta,45,cross_border=Yes e country_risk_receiver=High.,cross_border=Yes; country_risk_receiver=High.,Não no protótipo. Pode ser recalibrada por país/lista e produto.,515,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal",A combinação de internacionalização com jurisdição de alto risco aumenta risco de layering e evasão de controles.,Priorizar revisão da contraparte e coerência da operação com perfil do cliente.,"Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R06,R06_geo_or_ip_high_risk,Geografia/IP de alto risco,transacao,geo-salto / geografia de risco,Todos,Média,20,country_risk_geo=High ou country_risk_ip=High ou country_risk_sender=High.,Qualquer dimensão geográfica classificada como High.,"Não no protótipo. Pode variar por país, produto e canal.",782,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Risco geográfico isolado gera ruído, mas em combinação com cross-border, sanções ou alto valor melhora a priorização.","Validar origem de acesso, device, IP, país e coerência com cadastro.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R07,R07_large_amount_50k_plus,Transação de alto valor >= R$50 mil,transacao,alto valor / possível comunicação objetiva se espécie,Todos,Alta,30,amount_brl >= 50.000.,amount_brl>=50000.,Não para alto valor. Observação: comunicação automática depende de evidência de espécie.,90,T7ILZTP10SBFN,"T7ILZTP10SBFN | cliente C100208 | Card | R$ 51.589,26 | receiver_country=MM | country_risk_receiver=High | cross_border=Yes | capture_method=Magstripe | auth_3ds=n/a | card_present=Yes | merchant_mcc_risk=Normal","Valor alto aumenta materialidade AML, mas nesta base não há campo de espécie; por isso é tratado como alerta de alto valor, não comunicação automática.","Revisar origem dos recursos, perfil de renda, recorrência e natureza da operação.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R08,R08_card_ecommerce_without_3ds,Card e-commerce sem 3DS,transacao,fraude cartão / e-commerce sem autenticação forte,Card,Média,18,Card + E-commerce + card_present=No + auth_3ds=No.,transaction_type=Card; capture_method=E-commerce; card_present=No; auth_3ds=No.,"Não no protótipo. Pode variar por MCC, ticket e chargeback.",1054,TFNO8A1FBZUMA,"TFNO8A1FBZUMA | cliente C101028 | Card | R$ 4.390,02 | receiver_country=KP | country_risk_receiver=High | cross_border=Yes | capture_method=E-commerce | auth_3ds=No | card_present=No | merchant_mcc_risk=Normal",Ausência de 3DS em e-commerce aumenta risco de fraude e pode compor alerta AML quando há MCC/merchant de risco e volume incompatível.,"Revisar merchant, chargeback, MCC, device e recorrência.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R09,R09_chargeback_status,Transação com chargeback,transacao,fraude cartão / merchant risk,Card,Média,20,status = Chargeback.,status=Chargeback.,Não no protótipo. Pode variar por merchant e janela de chargeback.,1070,THCF7RXE8PSWC,"THCF7RXE8PSWC | cliente C101028 | Card | R$ 1.135,20 | receiver_country=DE | country_risk_receiver=Low | cross_border=Yes | capture_method=E-commerce | auth_3ds=Yes | card_present=No | merchant_mcc_risk=High","Chargeback pode indicar fraude, teste de cartão, merchant abusivo ou disputa; isolado é operacional, combinado com MCC/alto risco vira AML/fraude.",Analisar histórico do merchant/cliente e concentração de chargebacks.,"Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R10,R10_high_risk_mcc,MCC de alto risco,transacao,MCC risco / merchant risk,Card/merchant,Média,15,merchant_mcc_risk = High.,merchant.mcc_risk=High.,Não no protótipo. Pode variar por política interna de MCC.,15696,THCF7RXE8PSWC,"THCF7RXE8PSWC | cliente C101028 | Card | R$ 1.135,20 | receiver_country=DE | country_risk_receiver=Low | cross_border=Yes | capture_method=E-commerce | auth_3ds=Yes | card_present=No | merchant_mcc_risk=High","MCC de risco não é suspeito sozinho, mas ajuda a priorizar quando combinado com alto volume, e-commerce sem 3DS ou chargeback.",Aplicar monitoramento reforçado por MCC/merchant e revisar concentração.,"Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
